Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-323F,43.815,12.7,0.0,bottom
D2,1N4148,D_SOD-323F,43.815,10.16,0.0,bottom
D3,1N4148,D_SOD-323F,43.815,7.62,0.0,bottom
D4,1N4148,D_SOD-323F,43.815,5.08,0.0,bottom
D5,1N4148,D_SOD-323F,43.815,2.54,0.0,bottom
D6,1N4148,D_SOD-323F,34.925,12.7,0.0,bottom
D7,1N4148,D_SOD-323F,34.925,10.16,0.0,bottom
D8,1N4148,D_SOD-323F,34.925,7.62,0.0,bottom
D9,1N4148,D_SOD-323F,34.925,5.08,0.0,bottom
D10,1N4148,D_SOD-323F,34.925,2.54,0.0,bottom
D11,1N4148,D_SOD-323F,26.035,12.7,0.0,bottom
D12,1N4148,D_SOD-323F,26.035,10.16,0.0,bottom
D13,1N4148,D_SOD-323F,26.035,7.62,0.0,bottom
D14,1N4148,D_SOD-323F,26.035,5.08,0.0,bottom
D15,1N4148,D_SOD-323F,26.035,2.54,0.0,bottom
D16,1N4148,D_SOD-323F,17.145,12.7,0.0,bottom
D17,1N4148,D_SOD-323F,17.145,10.16,0.0,bottom
D18,1N4148,D_SOD-323F,17.145,7.62,0.0,bottom
D19,1N4148,D_SOD-323F,17.145,5.08,0.0,bottom
D20,1N4148,D_SOD-323F,17.145,2.54,0.0,bottom
D21,1N4148,D_SOD-323F,8.255,12.7,0.0,bottom
D22,1N4148,D_SOD-323F,8.255,10.16,0.0,bottom
D23,1N4148,D_SOD-323F,8.255,7.62,0.0,bottom
D24,1N4148,D_SOD-323F,8.255,5.08,0.0,bottom
D25,1N4148,D_SOD-323F,8.255,2.54,0.0,bottom
D26,1N4148,D_SOD-323F,43.815,29.21,180.0,bottom
D27,1N4148,D_SOD-323F,43.815,26.67,180.0,bottom
D28,1N4148,D_SOD-323F,43.815,24.13,180.0,bottom
D29,1N4148,D_SOD-323F,43.815,21.59,180.0,bottom
D30,1N4148,D_SOD-323F,43.815,19.05,180.0,bottom
